group,match,date,time,timezone
A,Mexico vs South Africa,11.06.2026,13:00,UTC−6
A,South Korea vs Czech Republic,11.06.2026,20:00,UTC−6
A,Czech Republic vs South Africa,18.06.2026,12:00,UTC−4
A,Mexico vs South Korea,18.06.2026,19:00,UTC−6
A,Czech Republic vs Mexico,24.06.2026,19:00,UTC−6
A,South Africa vs South Korea,24.06.2026,19:00,UTC−6
B,Canada vs Bosnia and Herzegovina,12.06.2026,15:00,UTC−4
B,Qatar vs Switzerland,13.06.2026,12:00,UTC−7
B,Switzerland vs Bosnia and Herzegovina,18.06.2026,12:00,UTC−7
B,Canada vs Qatar,18.06.2026,15:00,UTC−7
B,Bosnia and Herzegovina vs Qatar,24.06.2026,12:00,UTC−7
B,Switzerland vs Canada,24.06.2026,12:00,UTC−7
C,Brazil vs Morocco,13.06.2026,18:00,UTC−4
C,Haiti vs Scotland,13.06.2026,21:00,UTC−4
C,Scotland vs Morocco,19.06.2026,18:00,UTC−4
C,Brazil vs Haiti,19.06.2026,20:30,UTC−4
C,Morocco vs Haiti,24.06.2026,18:00,UTC−4
C,Scotland vs Brazil,24.06.2026,18:00,UTC−4
D,United States vs Paraguay,12.06.2026,18:00,UTC−7
D,Australia vs Turkey,13.06.2026,21:00,UTC−7
D,United States vs Australia,19.06.2026,12:00,UTC−7
D,Turkey vs Paraguay,19.06.2026,20:00,UTC−7
D,Paraguay vs Australia,25.06.2026,19:00,UTC−7
D,Turkey vs United States,25.06.2026,19:00,UTC−7
E,Germany vs Curaçao,14.06.2026,12:00,UTC−5
E,Ivory Coast vs Ecuador,14.06.2026,19:00,UTC−4
E,Germany vs Ivory Coast,20.06.2026,16:00,UTC−4
E,Ecuador vs Curaçao,20.06.2026,19:00,UTC−5
E,Curaçao vs Ivory Coast,25.06.2026,16:00,UTC−4
E,Ecuador vs Germany,25.06.2026,16:00,UTC−4
F,Netherlands vs Japan,14.06.2026,15:00,UTC−5
F,Sweden vs Tunisia,14.06.2026,20:00,UTC−6
F,Netherlands vs Sweden,20.06.2026,12:00,UTC−5
F,Tunisia vs Japan,20.06.2026,22:00,UTC−6
F,Japan vs Sweden,25.06.2026,18:00,UTC−5
F,Tunisia vs Netherlands,25.06.2026,18:00,UTC−5
G,Belgium vs Egypt,15.06.2026,12:00,UTC−7
G,Iran vs New Zealand,15.06.2026,18:00,UTC−7
G,Belgium vs Iran,21.06.2026,12:00,UTC−7
G,New Zealand vs Egypt,21.06.2026,18:00,UTC−7
G,Egypt vs Iran,26.06.2026,20:00,UTC−7
G,New Zealand vs Belgium,26.06.2026,20:00,UTC−7
H,Spain vs Cape Verde,15.06.2026,12:00,UTC−4
H,Saudi Arabia vs Uruguay,15.06.2026,18:00,UTC−4
H,Spain vs Saudi Arabia,21.06.2026,12:00,UTC−4
H,Uruguay vs Cape Verde,21.06.2026,18:00,UTC−4
H,Uruguay vs Spain,26.06.2026,18:00,UTC−6
H,Cape Verde vs Saudi Arabia,26.06.2026,19:00,UTC−5
I,France vs Senegal,16.06.2026,15:00,UTC−4
I,Iraq vs Norway,16.06.2026,18:00,UTC−4
I,France vs Iraq,22.06.2026,17:00,UTC−4
I,Norway vs Senegal,22.06.2026,20:00,UTC−4
I,Norway vs France,26.06.2026,15:00,UTC−4
I,Senegal vs Iraq,26.06.2026,15:00,UTC−4
J,Argentina vs Algeria,16.06.2026,20:00,UTC−5
J,Austria vs Jordan,16.06.2026,21:00,UTC−7
J,Argentina vs Austria,22.06.2026,12:00,UTC−5
J,Jordan vs Algeria,22.06.2026,20:00,UTC−7
J,Algeria vs Austria,27.06.2026,21:00,UTC−5
J,Jordan vs Argentina,27.06.2026,21:00,UTC−5
K,Portugal vs DR Congo,17.06.2026,12:00,UTC−5
K,Uzbekistan vs Colombia,17.06.2026,20:00,UTC−6
K,Portugal vs Uzbekistan,23.06.2026,12:00,UTC−5
K,Colombia vs DR Congo,23.06.2026,20:00,UTC−6
K,Colombia vs Portugal,27.06.2026,19:30,UTC−4
K,DR Congo vs Uzbekistan,27.06.2026,19:30,UTC−4
L,England vs Croatia,17.06.2026,15:00,UTC−5
L,Ghana vs Panama,17.06.2026,19:00,UTC−4
L,England vs Ghana,23.06.2026,16:00,UTC−4
L,Panama vs Croatia,23.06.2026,19:00,UTC−4
L,Croatia vs Ghana,27.06.2026,17:00,UTC−4
L,Panama vs England,27.06.2026,17:00,UTC−4
